ID,term,concept,source,source_type,retrieval_date,hyperlink,definition,def_clean,source_work_title,source_book_title,source_work_url,def_ID,cluster,cluster_name
FORRT_amnesia,AMNESIA,AMNESIA,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/amnesia,"AMNESIA is a free anonymization tool to remove identifying information from data. After uploading a dataset that contains personal data, the original dataset is transformed by the tool, resulting in a dataset that is anonymized regarding personal and sensitive data.",amnesia free anonymization tool remove identifying information data uploading dataset contains personal data original dataset transformed tool resulting dataset anonymized regarding personal sensitive data,NA,NA,NA,amnesia_1,1,"Equity, Diversity, and Inclusion"
WIKT_amnesia_1,AMNESIA,AMNESIA,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/amnesia,Loss of memory; forgetfulness.,loss memory forgetfulness,NA,NA,NA,amnesia_2,1,"Equity, Diversity, and Inclusion"
WIKT_amnesia_3,AMNESIA,AMNESIA,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/amnesia,A potent sativa-dominant strain of marijuana.,potent sativa dominant strain marijuana,NA,NA,NA,amnesia_4,1,"Equity, Diversity, and Inclusion"
FORRT_arrive_guidelines,ARRIVE Guidelines,ARRIVE Guidelines,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/arrive_guidelines,"The ARRIVE guidelines (Animal Research: Reporting of In Vivo Experiments) are a checklist-based set of reporting guidelines developed to improve reporting standards, and enhance replicability, within living (i.e. *in vivo*) animal research. The second generation ARRIVE guidelines, ARRIVE 2.0, were released in 2020\. In these new guidelines, the clarity has been improved, items have been prioritised and new information has been added with an accompanying “Explanation” and “Elaboration” document to provide a rationale for each item and a recommended set to add context to the study being described.",arrive guidelines animal research reporting vivo experiments checklist based set reporting guidelines developed improve reporting standards enhance replicability within living e vivo animal research second generation arrive guidelines arrive 2 0 released 2020 new guidelines clarity improved items prioritised new information added accompanying explanation elaboration document provide rationale item recommended set add context study described,NA,NA,NA,arrive_guidelines_1,1,"Equity, Diversity, and Inclusion"
WIKT_arrive-guidelines_10,ARRIVE Guidelines,ARRIVE Guidelines,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/CT,To perform a CT scan on.,perform ct scan,NA,NA,NA,arrive_guidelines_3,1,"Equity, Diversity, and Inclusion"
WIKT_arrive-guidelines_9,ARRIVE Guidelines,ARRIVE Guidelines,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/CT,; chlamydia.,chlamydia,NA,NA,NA,arrive_guidelines_4,1,"Equity, Diversity, and Inclusion"
FORRT_abstract_bias,Abstract Bias,Abstract Bias,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/abstract_bias,"The tendency to report only significant results in the abstract, while reporting non-significant results within the main body of the manuscript (not reporting non-significant results altogether would constitute selective reporting). The consequence of abstract bias is that studies reporting non-significant results may not be captured with standard meta-analytic search procedures (which rely on information in the title, abstract and keywords) and thus biasing the results of meta-analyses.",tendency report significant results abstract reporting non significant results within main body manuscript reporting non significant results altogether constitute selective reporting consequence abstract bias studies reporting non significant results may captured standard meta analytic search procedures rely information title abstract keywords thus biasing results meta analyses,NA,NA,NA,abstract_bias_1,3,Scholarly Communication and Publishing
FORRT_academic_impact,Academic Impact,Academic Impact,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/academic_impact,"The contribution that a research output (e.g., published manuscript) makes in shifting understanding and advancing scientific theory, method, and application, across and within disciplines. Impact can also refer to the degree to which an output or research programme influences change outside of academia, e.g. societal and economic impact (cf. ESRC:",contribution research output e g published manuscript makes shifting understanding advancing scientific theory method application across within disciplines impact can also refer degree output research programme influences change outside academia e g societal economic impact cf esrc,NA,NA,NA,academic_impact_1,3,Scholarly Communication and Publishing
IGI_academic_impact_1,Academic Impact,Academic Impact,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/academic-impact/106389,"Which is the demonstrable contribution that excellent social and economic research makes in shifting understanding and advancing scientific method, theory and application across and within disciplines.",demonstrable contribution excellent social economic research makes shifting understanding advancing scientific method theory application across within disciplines,Academic Migration From Scientist Networks in the Global Environment: A Case Study,Handbook of Research on Promoting Global Citizenship Education,https://www.igi-global.com/book/handbook-research-promoting-global-citizenship/279127,academic_impact_2,3,Scholarly Communication and Publishing
WIKT_academic-impact_1,Academic Impact,Academic Impact,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/impact%20factor,"A measure reflecting the average number of citations to recent articles published in an academic journal, used as an approximation of the relative importance of a journal within its field.",measure reflecting average number citations recent articles published academic journal used approximation relative importance journal within field,NA,NA,NA,academic_impact_3,3,Scholarly Communication and Publishing
