term,UMAP1,UMAP2,cluster_name
AMNESIA,-1.5533030642601822,0.5390055353375731,"Equity, Diversity, and Inclusion"
ARRIVE Guidelines,-1.6426892675948603,0.8761782382007495,"Equity, Diversity, and Inclusion"
Abstract Bias,0.5228459359706332,-1.8013660199499757,Scholarly Communication and Publishing
Academic Impact,1.5535178968995604,-2.5041264873705336,Scholarly Communication and Publishing
Accessibility,0.5596623445542566,1.8457378414181884,"Equity, Diversity, and Inclusion"
Ad hominem bias,-1.192905128462948,0.08280546636168618,"Equity, Diversity, and Inclusion"
Adversarial (collaborative) commentary,0.23229824437605195,1.5754860943466429,Learning and Research Design
Adversarial collaboration,0.2641384604968531,-1.466135263636444,Knowledge and Conceptual Foundations
Affiliation bias,-0.06267346426109643,-0.8140353127809004,Scholarly Communication and Publishing
Aleatoric uncertainty,-1.323802552413675,-2.0454982618224675,Statistical Inference and Methods
Altmetrics,1.4399079794074323,-2.5519236603333155,Scholarly Communication and Publishing
Analytic Flexibility,0.8013278956343814,-1.915119827407679,Scholarly Communication and Publishing
Anonymity,0.2666117472369045,1.2355927721689166,"Equity, Diversity, and Inclusion"
Article Processing Charge (APC),-0.19720076554574684,0.6916754104145233,Scholarly Communication and Publishing
Authorship,-0.45910517712814647,0.8017807952504679,Scholarly Communication and Publishing
Auxiliary Hypothesis,-0.6463088413623761,-1.0371028853827637,Knowledge and Conceptual Foundations
BIDS data structure,-1.6091111090393757,0.5355089660346777,"Equity, Diversity, and Inclusion"
BIZARRE,-2.0774722952391325,0.7627386134758438,"Equity, Diversity, and Inclusion"
Badges (Open Science),0.3589832661819594,1.9452502600389272,"Equity, Diversity, and Inclusion"
Bayes Factor,-1.5486558520164322,-1.9364035797480632,Statistical Inference and Methods
Bayesian Inference,-1.7198496415424986,-2.215910684938558,Statistical Inference and Methods
Bayesian Parameter Estimation,-1.7220346139505618,-2.234906903938508,Statistical Inference and Methods
Bottom-up approach (to Open Scholarship),2.0269402207606317,-0.6905342487866534,Learning and Research Design
Bracketing Interviews,-0.3066054440600672,-0.11210988138527411,Scholarly Communication and Publishing
Bropenscience,-0.2941989478282223,2.3658096820252013,Scholarly Communication and Publishing
CARKing,-1.185023676081007,0.5224929362206554,Scholarly Communication and Publishing
CKAN,1.4549223327866316,0.9469222575923599,Open Science and Digital Infrastructure
COAR Community Framework for Good Practices in Repositories,1.7298836457311573,-0.05764961466016327,Scholarly Communication and Publishing
CRediT,-0.8579136939581962,1.1000377233979644,"Equity, Diversity, and Inclusion"
Center for Open Science (COS),-1.6852610117798696,0.7916477246678644,"Equity, Diversity, and Inclusion"
Citation Diversity Statement,-0.7450204456417939,2.277004509068874,Scholarly Communication and Publishing
Citation bias,-1.7958452817194135,0.6344652027464617,"Equity, Diversity, and Inclusion"
Citizen Science,1.9869472973994262,-0.38511945050112406,Learning and Research Design
Co-production,1.4191543949533396,-0.18655129638287637,Learning and Research Design
Code review,1.2493698386516585,0.5896938402149547,Open Science and Digital Infrastructure
Codebook,0.5294144039115349,0.4841965575308078,Open Science and Digital Infrastructure
Collaborative Replication and Education Project (CREP),0.5153073847768046,-1.113786922252718,Learning and Research Design
Committee on Best Practices in Data Analysis and Sharing (COBIDAS),0.9392391600185501,-0.6565028229837303,Scholarly Communication and Publishing
Communality,-0.017136511616357097,2.3307320870060604,"Equity, Diversity, and Inclusion"
Community Projects,1.732362402948889,-0.14180575298191123,Learning and Research Design
Compendium,0.5958282210668471,0.2562148475436723,Open Science and Digital Infrastructure
Computational reproducibility,0.43626381336543174,-0.703199139764273,Open Science and Digital Infrastructure
Conceptual replication,0.19057727810270775,-1.5242149727968672,Knowledge and Conceptual Foundations
Confirmation bias,-0.6756808180255982,-0.4888437557734503,Knowledge and Conceptual Foundations
Confirmatory analyses,-0.11100417426406795,-0.052319544147845676,Knowledge and Conceptual Foundations
Conflict of interest,0.26280978654139764,1.5201504346230277,"Equity, Diversity, and Inclusion"
